grammar_point,ruby,reference,dojg,donnatoki,hjg
とする1,,4. HJG,,,519
とする2,,4. HJG,,,520
とすると,,4. HJG,,,521
とすれば1,,4. HJG,,,522
とすれば2,,4. HJG,,,523
途端,,4. HJG,,,524
と違って,,4. HJG,,,525
途中,,4. HJG,,,526
どちらかと言うと,,4. HJG,,,527
とて,,4. HJG,,,528
とても,,4. HJG,,,529
とでも言う,,4. HJG,,,530
とでも言うべき,,4. HJG,,,531
と共に,,4. HJG,,,532
となく,,4. HJG,,,533
となったら,,4. HJG,,,534
となっては,,4. HJG,,,535
となる,,4. HJG,,,536
となると,,4. HJG,,,537
となれば,,4. HJG,,,538
とにかく,,4. HJG,,,539
との,,4. HJG,,,540
とは,,4. HJG,,,541
とは言いながら,,4. HJG,,,542
とは言うものの,,4. HJG,,,543
とは言え,,4. HJG,,,544
とは言っても,,4. HJG,,,545
とは打って変わって,,4. HJG,,,546
とは限らない,,4. HJG,,,547
とばかり,,4. HJG,,,548
と見えて,,4. HJG,,,549
とも,,4. HJG,,,550
ども1,,4. HJG,,,551
ども2,,4. HJG,,,552
ともあろうものが,,4. HJG,,,553
とも限らない,,4. HJG,,,554
ともかく,,4. HJG,,,555
ともすると,,4. HJG,,,556
ともなく,,4. HJG,,,557
ともなると,,4. HJG,,,558
ともなれば,,4. HJG,,,559
とやら,,4. HJG,,,560
取り分け,,4. HJG,,,561
とんだ,,4. HJG,,,562
とんでもない,,4. HJG,,,563
どんな,,4. HJG,,,564
どんなに,,4. HJG,,,565
ないか,,4. HJG,,,566
ないかしら,,4. HJG,,,567
ないかな,,4. HJG,,,568
ないことはない,,4. HJG,,,569
ないこともない,,4. HJG,,,570
ないで,,4. HJG,,,571
ないである,,4. HJG,,,572
ないでいる,,4. HJG,,,573
ないで置く,,4. HJG,,,574
ないでくれ,,4. HJG,,,575
ないで済む,,4. HJG,,,576
ないではいられない,,4. HJG,,,577
ないでは置かない,,4. HJG,,,578
ないでは済まない,,4. HJG,,,579
ないでもない,,4. HJG,,,580
ないでも良い,,4. HJG,,,581
ないと,,4. HJG,,,582
ないと良い,,4. HJG,,,583
ないとも限らない,,4. HJG,,,584
ないまでも,,4. HJG,,,585
ないものか,,4. HJG,,,586
尚,,4. HJG,,,587
直す,,4. HJG,,,588
中,,4. HJG,,,589
流す,,4. HJG,,,590
ながら,,4. HJG,,,591
なきゃ,,4. HJG,,,592
なくしては,,4. HJG,,,593
なくちゃ,,4. HJG,,,594
なくて,,4. HJG,,,595
なくては,,4. HJG,,,596
なくてはいけない,,4. HJG,,,597
なくても良い,,4. HJG,,,598
なくとも良い,,4. HJG,,,599
なくもない,,4. HJG,,,600
なけりゃ,,4. HJG,,,601
なければ,,4. HJG,,,602
なさい,,4. HJG,,,603
なさんな,,4. HJG,,,604
なしでは…ない,,4. HJG,,,605
なしに,,4. HJG,,,606
何故か,,4. HJG,,,607
何故…かと言うと,,4. HJG,,,608
何故かと言うと…からだ,,4. HJG,,,609
何故かと言えば…からだ,,4. HJG,,,610
何故ならば…からだ,,4. HJG,,,611
等,,4. HJG,,,612
何…ない,,4. HJG,,,613
何か,,4. HJG,,,614
何かしら,,4. HJG,,,615
何かと,,4. HJG,,,616
何が何でも,,4. HJG,,,617
何かにつけて,,4. HJG,,,618
何気ない,,4. HJG,,,619
何しろ,,4. HJG,,,620
何にも増して,,4. HJG,,,621
何も,,4. HJG,,,622
何やら,,4. HJG,,,623
何より,,4. HJG,,,624
なまじ,,4. HJG,,,625
なら1,,4. HJG,,,626
なら2,,4. HJG,,,627
なら3,,4. HJG,,,628
なら良い,,4. HJG,,,629
ならでは,,4. HJG,,,630
並びに,,4. HJG,,,631
なり1,,4. HJG,,,632
なり2,,4. HJG,,,633
なり3,,4. HJG,,,634
なりと,,4. HJG,,,635
なる,,4. HJG,,,636
なるたけ,,4. HJG,,,637
なるべく,,4. HJG,,,638
成程,,4. HJG,,,639
慣れた,,4. HJG,,,640
何か,,4. HJG,,,641
何か…ものか,,4. HJG,,,642
何だか,,4. HJG,,,643
なんて1,,4. HJG,,,644
なんて2,,4. HJG,,,645
何でも,,4. HJG,,,646
何とか,,4. HJG,,,649
何とか言う,,4. HJG,,,650
何としても,,4. HJG,,,651
何となく,,4. HJG,,,652
何とはなしに,,4. HJG,,,653
何とも,,4. HJG,,,654
何にしても,,4. HJG,,,655
何にしろ,,4. HJG,,,656
何ら…ない,,4. HJG,,,657
に,,4. HJG,,,658
に当たって,,4. HJG,,,659
に当たり,,4. HJG,,,660
にあって,,4. HJG,,,661
に至る,,4. HJG,,,662
に言わせれば,,4. HJG,,,663
に於いて,,4. HJG,,,664
に応じて,,4. HJG,,,665
におかれましては,,4. HJG,,,666
に於ける,,4. HJG,,,667
にかかっては,,4. HJG,,,668
に関わらず,,4. HJG,,,669
に関わる,,4. HJG,,,670
にかぎったことではない,,4. HJG,,,671
にかけたら,,4. HJG,,,672
にかけて,,4. HJG,,,673
にかこつけて,,4. HJG,,,674
に難くない,,4. HJG,,,675
にかまけて,,4. HJG,,,676
に代わって,,4. HJG,,,677
に代わり,,4. HJG,,,678
に関して,,4. HJG,,,679
に決まってる,,4. HJG,,,680
難い,,4. HJG,,,681
に比べて,,4. HJG,,,682
に加え,,4. HJG,,,683
に加えて,,4. HJG,,,684
に越したことはない,,4. HJG,,,685
に答え,,4. HJG,,,686
に答えて,,4. HJG,,,687
に際し,,4. HJG,,,688
に際して,,4. HJG,,,689
に先立ち,,4. HJG,,,690
に先立って,,4. HJG,,,691
に従い,,4. HJG,,,692
に従って,,4. HJG,,,693
にしたって,,4. HJG,,,694
にしたら,,4. HJG,,,695
にして,,4. HJG,,,696
にしてからが,,4. HJG,,,697
にしては,,4. HJG,,,698
にしてみれば,,4. HJG,,,699
にしても,,4. HJG,,,700
にしろ,,4. HJG,,,701
にせよ,,4. HJG,,,702
に即して,,4. HJG,,,703
に沿って,,4. HJG,,,704
に対して,,4. HJG,,,705
に対する,,4. HJG,,,706
に耐えない,,4. HJG,,,707
に耐える,,4. HJG,,,708
に足りない,,4. HJG,,,709
に足る,,4. HJG,,,710
について,,4. HJG,,,711
につき,,4. HJG,,,712
につけ,,4. HJG,,,713
に連れて,,4. HJG,,,714
にて,,4. HJG,,,715
にとって,,4. HJG,,,716
二度と…ない,,4. HJG,,,717
に留まらず,,4. HJG,,,718
に伴い,,4. HJG,,,719
に伴って,,4. HJG,,,720
になく,,4. HJG,,,721
には,,4. HJG,,,722
には当たらない,,4. HJG,,,723
には及ばない,,4. HJG,,,724
に反し,,4. HJG,,,725
に反して,,4. HJG,,,726
に引き換え,,4. HJG,,,727
に他ならない,,4. HJG,,,728
に向かって,,4. HJG,,,729
に向けて,,4. HJG,,,730
に面して,,4. HJG,,,731
にも,,4. HJG,,,732
にも関わらず,,4. HJG,,,733
に基いて,,4. HJG,,,734
にもなく,,4. HJG,,,735
にもならない,,4. HJG,,,736
によって,,4. HJG,,,737
によらず,,4. HJG,,,738
により,,4. HJG,,,739
による,,4. HJG,,,740
によると,,4. HJG,,,741
によれば,,4. HJG,,,742
に渡って,,4. HJG,,,743
に渡り,,4. HJG,,,744
ぬ,,4. HJG,,,745
抜き,,4. HJG,,,746
抜く,,4. HJG,,,747
ぬまでも,,4. HJG,,,748
ねばならない,,4. HJG,,,749
ねばならぬ,,4. HJG,,,750
の1,,4. HJG,,,751
の2,,4. HJG,,,752
の…の,,4. HJG,,,753
のか,,4. HJG,,,754
のだ,,4. HJG,,,755
のだった,,4. HJG,,,756
のだったら,,4. HJG,,,757
のだろう,,4. HJG,,,758
ので,,4. HJG,,,759
のであった,,4. HJG,,,760
のである,,4. HJG,,,761
のです,,4. HJG,,,762
のでは,,4. HJG,,,763
のではなかったか,,4. HJG,,,764
のに1,,4. HJG,,,765
のに2,,4. HJG,,,766
のは…だ,,4. HJG,,,767
のみ,,4. HJG,,,768
のみならず,,4. HJG,,,769
ば,,4. HJG,,,770
は…で,,4. HJG,,,771
場合,,4. HJG,,,772
はい,,4. HJG,,,773
ば良い,,4. HJG,,,774
は疎か,,4. HJG,,,775
ばかり,,4. HJG,,,776
ばかりか,,4. HJG,,,777
ばかりでなく…も,,4. HJG,,,778
ばこそ,,4. HJG,,,779
初め,,4. HJG,,,780
初めて,,4. HJG,,,781
筈,,4. HJG,,,782
弾み,,4. HJG,,,783
果たして,,4. HJG,,,784
放し,,4. HJG,,,785
早いか,,4. HJG,,,786
範囲で,,4. HJG,,,787
反対に,,4. HJG,,,788
反面,,4. HJG,,,789
ひいては,,4. HJG,,,790
控えて,,4. HJG,,,791
非常に,,4. HJG,,,792
比ではない,,4. HJG,,,793
一つ,,4. HJG,,,794
一つ間違えば,,4. HJG,,,795
一通り,,4. HJG,,,796
ひとり…だけでなく,,4. HJG,,,797
ひとり…のみならず,,4. HJG,,,798
風,,4. HJG,,,799
節がある,,4. HJG,,,800
不足はない,,4. HJG,,,801
ふと,,4. HJG,,,802
振り,,4. HJG,,,803
振る,,4. HJG,,,804
分,,4. HJG,,,805
べからざる,,4. HJG,,,806
べからず,,4. HJG,,,807
べき,,4. HJG,,,808
べく,,4. HJG,,,809
べし,,4. HJG,,,810
下手,,4. HJG,,,811
別段,,4. HJG,,,812
別として,,4. HJG,,,813
別に,,4. HJG,,,814
ぽい,,4. HJG,,,815
方,,4. HJG,,,816
放題,,4. HJG,,,817
他,,4. HJG,,,818
欲しい,,4. HJG,,,819
欲しがる,,4. HJG,,,820
程,,4. HJG,,,821
程なく,,4. HJG,,,822
殆ど,,4. HJG,,,823
まい,,4. HJG,,,824
前,,4. HJG,,,825
まさか,,4. HJG,,,826
正に,,4. HJG,,,827
まして,,4. HJG,,,828
先ず,,4. HJG,,,829
又,,4. HJG,,,830
未だ,,4. HJG,,,831
又しても,,4. HJG,,,832
又は,,4. HJG,,,833
又もや,,4. HJG,,,834
全く,,4. HJG,,,835
まで,,4. HJG,,,836
までに,,4. HJG,,,837
まま,,4. HJG,,,838
まみれ,,4. HJG,,,839
間もなく,,4. HJG,,,840
まるで,,4. HJG,,,841
回る,,4. HJG,,,842
まんざら,,4. HJG,,,843
まんまと,,4. HJG,,,844
見える,,4. HJG,,,845
見込み,,4. HJG,,,846
見込んで,,4. HJG,,,847
見せる,,4. HJG,,,848
みたいだ,,4. HJG,,,849
みだりに,,4. HJG,,,850
見る,,4. HJG,,,851
見るからに,,4. HJG,,,852
向き,,4. HJG,,,853
向く,,4. HJG,,,854
向け,,4. HJG,,,855
向けで,,4. HJG,,,856
むしろ,,4. HJG,,,857
無闇に,,4. HJG,,,858
無理,,4. HJG,,,859
めく,,4. HJG,,,860
巡って,,4. HJG,,,861
滅多に,,4. HJG,,,862
も,,4. HJG,,,863
もう1,,4. HJG,,,864
もう2,,4. HJG,,,865
もう直ぐ,,4. HJG,,,866
も構わず,,4. HJG,,,867
目されている,,4. HJG,,,868
もさる事ながら,,4. HJG,,,869
もし,,4. HJG,,,870
もしかしたら,,4. HJG,,,871
もしくは,,4. HJG,,,872
もしも,,4. HJG,,,873
勿論,,4. HJG,,,874
もって1,,4. HJG,,,875
もって2,,4. HJG,,,876
もっと,,4. HJG,,,877
もっとも,,4. HJG,,,878
もっぱら,,4. HJG,,,879
下,,4. HJG,,,880
元々,,4. HJG,,,881
元より,,4. HJG,,,882
もの,,4. HJG,,,883
ものか,,4. HJG,,,884
ものがある,,4. HJG,,,885
ものだ,,4. HJG,,,886
ものだから,,4. HJG,,,887
ものではない,,4. HJG,,,888
ものでもない,,4. HJG,,,889
ものと思う,,4. HJG,,,890
ものとする,,4. HJG,,,891
ものなら,,4. HJG,,,892
ものの,,4. HJG,,,893
ものを,,4. HJG,,,894
最早,,4. HJG,,,895
や1,,4. HJG,,,896
や2,,4. HJG,,,897
やがて,,4. HJG,,,898
安い,,4. HJG,,,899
やたらに,,4. HJG,,,900
やっと,,4. HJG,,,901
やなんぞ,,4. HJG,,,902
止む,,4. HJG,,,903
やら,,4. HJG,,,904
故,,4. HJG,,,905
よう1,,4. HJG,,,906
よう2,,4. HJG,,,907
要するに,,4. HJG,,,908
ようだ1,,4. HJG,,,909
ようだ2,,4. HJG,,,910
ような1,,4. HJG,,,911
ような2,,4. HJG,,,912
ように1,,4. HJG,,,913
ように2,,4. HJG,,,914
ように3,,4. HJG,,,915
漸く,,4. HJG,,,916
良かった,,4. HJG,,,917
良かろう,,4. HJG,,,918
良く,,4. HJG,,,919
よそに,,4. HJG,,,920
よほど,,4. HJG,,,921
よもや,,4. HJG,,,922
より,,4. HJG,,,923
らしい,,4. HJG,,,924
られる1,,4. HJG,,,925
られる2,,4. HJG,,,926
れる1,,4. HJG,,,927
れる2,,4. HJG,,,928
ろく,,4. HJG,,,929
ろくろく,,4. HJG,,,930
わ…わ,,4. HJG,,,931
訳がない,,4. HJG,,,932
訳だ,,4. HJG,,,933
訳ではない,,4. HJG,,,934
分けても,,4. HJG,,,935
訳にはいけない,,4. HJG,,,936
わざわざ,,4. HJG,,,937
僅か,,4. HJG,,,938
割,,4. HJG,,,939
を…とする,,4. HJG,,,940
を…にひかえて,,4. HJG,,,941
をおいて,,4. HJG,,,942
を限りに,,4. HJG,,,943
を皮切りに,,4. HJG,,,944
を禁じえない,,4. HJG,,,945
を契機として,,4. HJG,,,946
を込めて,,4. HJG,,,947
をして…させる,,4. HJG,,,948
を前提に,,4. HJG,,,949
を頼りに,,4. HJG,,,950
を中心に,,4. HJG,,,951
を通じて,,4. HJG,,,952
を問わず,,4. HJG,,,953
を除いて,,4. HJG,,,954
を踏まえ,,4. HJG,,,955
を基に,,4. HJG,,,956
をものともせずに,,4. HJG,,,957
を余儀なくさせる,,4. HJG,,,958
を余儀なくされる,,4. HJG,,,959
んじゃ,,4. HJG,,,960
んじゃない,,4. HJG,,,961
んじゃないか,,4. HJG,,,962
んじゃないだろうか,,4. HJG,,,963
んじゃなかったか,,4. HJG,,,964
んだ,,4. HJG,,,965
んだった,,4. HJG,,,966
んだって,,4. HJG,,,967
んだろう,,4. HJG,,,968
んで,,4. HJG,,,969
んです,,4. HJG,,,970
あいだ,,5. 日本語表現文型辞典,,あいだ,
あいだに,,5. 日本語表現文型辞典,,あいだに,
あいまって,,5. 日本語表現文型辞典,,あいまって,
あげく,,5. 日本語表現文型辞典,,あげく,
あげる,,5. 日本語表現文型辞典,,あげる,
あたって,,5. 日本語表現文型辞典,,あたって,
あたらない,,5. 日本語表現文型辞典,,あたらない,
あって,,5. 日本語表現文型辞典,,あって,
あっての,,5. 日本語表現文型辞典,,あっての,
あと,,5. 日本語表現文型辞典,,あと,
あとで,,5. 日本語表現文型辞典,,あとで,
あまり,,5. 日本語表現文型辞典,,あまり,
あまりの～に,,5. 日本語表現文型辞典,,あまりの～に,
いかんだ,,5. 日本語表現文型辞典,,いかんだ,
いかんで,,5. 日本語表現文型辞典,,いかんで,
いかんでは,,5. 日本語表現文型辞典,,いかんでは,
いかんにかかわらず,,5. 日本語表現文型辞典,,いかんにかかわらず,
いかんによって,,5. 日本語表現文型辞典,,いかんによって,
いかんによっては,,5. 日本語表現文型辞典,,いかんによっては,
いかんによらず,,5. 日本語表現文型辞典,,いかんによらず,
いざしらず,,5. 日本語表現文型辞典,,いざしらず,
いじょう（は）,,5. 日本語表現文型辞典,,いじょう（は）,
いただく,,5. 日本語表現文型辞典,,いただく,
いたって,,5. 日本語表現文型辞典,,いたって,
いたっては,,5. 日本語表現文型辞典,,いたっては,
いたり,,5. 日本語表現文型辞典,,いたり,
いたる,,5. 日本語表現文型辞典,,いたる,
いたるまで,,5. 日本語表現文型辞典,,いたるまで,
いちばん,,5. 日本語表現文型辞典,,いちばん,
いっぽう（で）,,5. 日本語表現文型辞典,,いっぽう（で）,
いっぽうだ,,5. 日本語表現文型辞典,,いっぽうだ,
いなや,,5. 日本語表現文型辞典,,いなや,
いらい,,5. 日本語表現文型辞典,,いらい,
うえ（に）,,5. 日本語表現文型辞典,,うえ（に）,
うえで,,5. 日本語表現文型辞典,,うえで,
うえで〈目的〉,目=もく | 的=てき,5. 日本語表現文型辞典,,うえで〈目的〉,
うえで,,5. 日本語表現文型辞典,,うえで,
うえは,,5. 日本語表現文型辞典,,うえは,
うちに〈時間幅〉,時=じ | 間=かん | 幅=はば,5. 日本語表現文型辞典,,うちに〈時間幅〉,
うちに〈事前〉,事=じ | 前=ぜん,5. 日本語表現文型辞典,,うちに〈事前〉,
うる,,5. 日本語表現文型辞典,,うる,
えない,,5. 日本語表現文型辞典,,えない,
える,,5. 日本語表現文型辞典,,える,
お～・ご～,,5. 日本語表現文型辞典,,お～・ご～,
お～いたす,,5. 日本語表現文型辞典,,お～いたす,
おいて,,5. 日本語表現文型辞典,,おいて,
おいて,,5. 日本語表現文型辞典,,おいて,
おうじて,,5. 日本語表現文型辞典,,おうじて,
おうずる,,5. 日本語表現文型辞典,,おうずる,
おかげか,,5. 日本語表現文型辞典,,おかげか,
おかげで,,5. 日本語表現文型辞典,,おかげで,
お～ください,,5. 日本語表現文型辞典,,お～ください,
おける,,5. 日本語表現文型辞典,,おける,
お～する,,5. 日本語表現文型辞典,,お～する,
おそれがある,,5. 日本語表現文型辞典,,おそれがある,
お～だ,,5. 日本語表現文型辞典,,お～だ,
お～になる,,5. 日本語表現文型辞典,,お～になる,
おり（に）,,5. 日本語表現文型辞典,,おり（に）,
おろか,,5. 日本語表現文型辞典,,おろか,
おわる,,5. 日本語表現文型辞典,,おわる,
が〈逆接〉,逆=ぎゃく | 接=せつ,5. 日本語表現文型辞典,,が〈逆接〉,
が〈前置き・和らげ〉,前=まえ | 置=お | 和=やわ,5. 日本語表現文型辞典,,が〈前置き・和らげ〉,
がい,,5. 日本語表現文型辞典,,がい,
かいがあって,,5. 日本語表現文型辞典,,かいがあって,
がいちばん,,5. 日本語表現文型辞典,,がいちばん,
かいもなく,,5. 日本語表現文型辞典,,かいもなく,
かかわらず,,5. 日本語表現文型辞典,,かかわらず,
かかわりなく,,5. 日本語表現文型辞典,,かかわりなく,
かかわる,,5. 日本語表現文型辞典,,かかわる,
かぎって,,5. 日本語表現文型辞典,,かぎって,
かぎらず,,5. 日本語表現文型辞典,,かぎらず,
かぎり（は）〈条件の範囲〉,条=じょう | 件=けん | 範=はん | 囲=い,5. 日本語表現文型辞典,,かぎり（は）〈条件の範囲〉,
かぎり〈限界〉,限=げん | 界=かい,5. 日本語表現文型辞典,,かぎり〈限界〉,
かぎり,,5. 日本語表現文型辞典,,かぎり,
かぎり,,5. 日本語表現文型辞典,,かぎり,
かぎりだ,,5. 日本語表現文型辞典,,かぎりだ,
かぎりでは,,5. 日本語表現文型辞典,,かぎりでは,
かぎりに,,5. 日本語表現文型辞典,,かぎりに,
かぎる,,5. 日本語表現文型辞典,,かぎる,
かけだ,,5. 日本語表現文型辞典,,かけだ,
かけては,,5. 日本語表現文型辞典,,かけては,
かける,,5. 日本語表現文型辞典,,かける,
がさいご,,5. 日本語表現文型辞典,,がさいご,
がする,,5. 日本語表現文型辞典,,がする,
がたい,,5. 日本語表現文型辞典,,がたい,
かたがた,,5. 日本語表現文型辞典,,かたがた,
かたくない,,5. 日本語表現文型辞典,,かたくない,
が～だけに,,5. 日本語表現文型辞典,,が～だけに,
かたわら,,5. 日本語表現文型辞典,,かたわら,
がち,,5. 日本語表現文型辞典,,がち,
がてら,,5. 日本語表現文型辞典,,がてら,
（か）とおもうと,,5. 日本語表現文型辞典,,（か）とおもうと,
かとおもうほど,,5. 日本語表現文型辞典,,かとおもうほど,
（か）とおもったら,,5. 日本語表現文型辞典,,（か）とおもったら,
か～ないかのうちに,,5. 日本語表現文型辞典,,か～ないかのうちに,
かねない,,5. 日本語表現文型辞典,,かねない,
かねる,,5. 日本語表現文型辞典,,かねる,
かのようだ,,5. 日本語表現文型辞典,,かのようだ,
かのように,,5. 日本語表現文型辞典,,かのように,
がはやいか,,5. 日本語表現文型辞典,,がはやいか,
がほしい,,5. 日本語表現文型辞典,,がほしい,
かまわず,,5. 日本語表現文型辞典,,かまわず,
かもしれない,,5. 日本語表現文型辞典,,かもしれない,
から〈原因・理由〉,原=げん | 因=いん | 理=り | 由=ゆう,5. 日本語表現文型辞典,,から〈原因・理由〉,
から〈原因〉,原=げん | 因=いん,5. 日本語表現文型辞典,,から〈原因〉,
からある,,5. 日本語表現文型辞典,,からある,
からいうと,,5. 日本語表現文型辞典,,からいうと,
からいえば,,5. 日本語表現文型辞典,,からいえば,
からいって,,5. 日本語表現文型辞典,,からいって,
からいっても,,5. 日本語表現文型辞典,,からいっても,
からこそ,,5. 日本語表現文型辞典,,からこそ,
からして,,5. 日本語表現文型辞典,,からして,
からして,,5. 日本語表現文型辞典,,からして,
からしても,,5. 日本語表現文型辞典,,からしても,
からする,,5. 日本語表現文型辞典,,からする,
からすると,,5. 日本語表現文型辞典,,からすると,
からすれば,,5. 日本語表現文型辞典,,からすれば,
からって,,5. 日本語表現文型辞典,,からって,
からでないと,,5. 日本語表現文型辞典,,からでないと,
からといって,,5. 日本語表現文型辞典,,からといって,
から～にかけて,,5. 日本語表現文型辞典,,から～にかけて,
からには,,5. 日本語表現文型辞典,,からには,
からの,,5. 日本語表現文型辞典,,からの,
がる,,5. 日本語表現文型辞典,,がる,
かわきりに,,5. 日本語表現文型辞典,,かわきりに,
かわって,,5. 日本語表現文型辞典,,かわって,
かわりに〈代償〉,代=だい | 償=しょう,5. 日本語表現文型辞典,,かわりに〈代償〉,
かわりに〈代理〉,代=だい | 理=り,5. 日本語表現文型辞典,,かわりに〈代理〉,
かんして,,5. 日本語表現文型辞典,,かんして,
かんする,,5. 日本語表現文型辞典,,かんする,
きっかけにして,,5. 日本語表現文型辞典,,きっかけにして,
きまっている,,5. 日本語表現文型辞典,,きまっている,
ぎみ,,5. 日本語表現文型辞典,,ぎみ,
きらいがある,,5. 日本語表現文型辞典,,きらいがある,
きり,,5. 日本語表現文型辞典,,きり,
きりだ,,5. 日本語表現文型辞典,,きりだ,
きる,,5. 日本語表現文型辞典,,きる,
きれない,,5. 日本語表現文型辞典,,きれない,
きれる,,5. 日本語表現文型辞典,,きれる,
きわまりない,,5. 日本語表現文型辞典,,きわまりない,
きわまる,,5. 日本語表現文型辞典,,きわまる,
きわみ,,5. 日本語表現文型辞典,,きわみ,
きんじえない,,5. 日本語表現文型辞典,,きんじえない,
くする,,5. 日本語表現文型辞典,,くする,
くせして,,5. 日本語表現文型辞典,,くせして,
くせに,,5. 日本語表現文型辞典,,くせに,
ください,,5. 日本語表現文型辞典,,ください,
くださいませんか,,5. 日本語表現文型辞典,,くださいませんか,
くださる,,5. 日本語表現文型辞典,,くださる,
くなる,,5. 日本語表現文型辞典,,くなる,
くらい〈程度〉,程=てい | 度=ど,5. 日本語表現文型辞典,,くらい〈程度〉,
くらい〈軽視〉,軽=けい | 視=し,5. 日本語表現文型辞典,,くらい〈軽視〉,
くらいだ,,5. 日本語表現文型辞典,,くらいだ,
くらいなら,,5. 日本語表現文型辞典,,くらいなら,
ぐらいなら,,5. 日本語表現文型辞典,,ぐらいなら,
くらい～はない,,5. 日本語表現文型辞典,,くらい～はない,
くらべて,,5. 日本語表現文型辞典,,くらべて,
くれる,,5. 日本語表現文型辞典,,くれる,
くわえて,,5. 日本語表現文型辞典,,くわえて,
け,,5. 日本語表現文型辞典,,け,
げ,,5. 日本語表現文型辞典,,げ,
けいきにして,,5. 日本語表現文型辞典,,けいきにして,
けど,,5. 日本語表現文型辞典,,けど,
けれど（も）〈逆接〉,逆=ぎゃく | 接=せつ,5. 日本語表現文型辞典,,けれど（も）〈逆接〉,
けれど（も）〈前置き・和らげ〉,前=まえ | 置=お | 和=やわ,5. 日本語表現文型辞典,,けれど（も）〈前置き・和らげ〉,
ご～,,5. 日本語表現文型辞典,,ご～,
こしたことはない,,5. 日本語表現文型辞典,,こしたことはない,
こそ,,5. 日本語表現文型辞典,,こそ,
こそ,,5. 日本語表現文型辞典,,こそ,
こたえて,,5. 日本語表現文型辞典,,こたえて,
こたえる,,5. 日本語表現文型辞典,,こたえる,
こと,,5. 日本語表現文型辞典,,こと,
ことか,,5. 日本語表現文型辞典,,ことか,
ことがある,,5. 日本語表現文型辞典,,ことがある,
ことができる,,5. 日本語表現文型辞典,,ことができる,
ことから,,5. 日本語表現文型辞典,,ことから,
ごとき,,5. 日本語表現文型辞典,,ごとき,
ごとき,,5. 日本語表現文型辞典,,ごとき,
ごとく,,5. 日本語表現文型辞典,,ごとく,
ごとく,,5. 日本語表現文型辞典,,ごとく,
ことだ〈感慨〉,感=かん | 慨=がい,5. 日本語表現文型辞典,,ことだ〈感慨〉,
ことだ〈助言・忠告〉,助=じょ | 言=げん | 忠=ちゅう | 告=こく,5. 日本語表現文型辞典,,ことだ〈助言・忠告〉,
ことだ,,5. 日本語表現文型辞典,,ことだ,
ことだから,,5. 日本語表現文型辞典,,ことだから,
ことだし,,5. 日本語表現文型辞典,,ことだし,
ことだろう,,5. 日本語表現文型辞典,,ことだろう,
こととて,,5. 日本語表現文型辞典,,こととて,
こととなっている,,5. 日本語表現文型辞典,,こととなっている,
こととなると,,5. 日本語表現文型辞典,,こととなると,
ことなく,,5. 日本語表現文型辞典,,ことなく,
ことなしに,,5. 日本語表現文型辞典,,ことなしに,
ことに（は）,,5. 日本語表現文型辞典,,ことに（は）,
ことにする,,5. 日本語表現文型辞典,,ことにする,
ことになっている,,5. 日本語表現文型辞典,,ことになっている,
ことになる〈決定〉,決=けっ | 定=てい,5. 日本語表現文型辞典,,ことになる〈決定〉,
ことになる〈結局〉,結=けっ | 局=きょく,5. 日本語表現文型辞典,,ことになる〈結局〉,
ことには,,5. 日本語表現文型辞典,,ことには,
ことは～が,,5. 日本語表現文型辞典,,ことは～が,
ことはない,,5. 日本語表現文型辞典,,ことはない,
ことはない,,5. 日本語表現文型辞典,,ことはない,
こない,,5. 日本語表現文型辞典,,こない,
こめて,,5. 日本語表現文型辞典,,こめて,
さい（に）,,5. 日本語表現文型辞典,,さい（に）,
さいして,,5. 日本語表現文型辞典,,さいして,
さいちゅう（に）,,5. 日本語表現文型辞典,,さいちゅう（に）,
さいちゅうだ,,5. 日本語表現文型辞典,,さいちゅうだ,
さえ,,5. 日本語表現文型辞典,,さえ,
さえ～ば,,5. 日本語表現文型辞典,,さえ～ば,
さきだつ,,5. 日本語表現文型辞典,,さきだつ,
さきだって,,5. 日本語表現文型辞典,,さきだって,
さしあげる,,5. 日本語表現文型辞典,,さしあげる,
させていただけませんか,,5. 日本語表現文型辞典,,させていただけませんか,
させてください,,5. 日本語表現文型辞典,,させてください,
させてくれませんか,,5. 日本語表現文型辞典,,させてくれませんか,
させてもらえませんか,,5. 日本語表現文型辞典,,させてもらえませんか,
させられる,,5. 日本語表現文型辞典,,させられる,
させる〈強制の使役〉,強=きょう | 制=せい | 使=し | 役=えき,5. 日本語表現文型辞典,,させる〈強制の使役〉,
させる〈誘発の使役〉,誘=ゆう | 発=はつ | 使=し | 役=えき,5. 日本語表現文型辞典,,させる〈誘発の使役〉,
させる〈許可・恩恵の使役〉,許=きょ | 可=か | 恩=おん | 恵=けい | 使=し | 役=えき,5. 日本語表現文型辞典,,させる〈許可・恩恵の使役〉,
させる〈責任の使役〉,責=せき | 任=にん | 使=し | 役=えき,5. 日本語表現文型辞典,,させる〈責任の使役〉,
させる〈他動詞化の使役〉,他=た | 動=どう | 詞=し | 化=か | 使=し | 役=えき,5. 日本語表現文型辞典,,させる〈他動詞化の使役〉,
さておき,,5. 日本語表現文型辞典,,さておき,
さることながら,,5. 日本語表現文型辞典,,さることながら,
ざるをえない,,5. 日本語表現文型辞典,,ざるをえない,
し,,5. 日本語表現文型辞典,,し,
しかたがない,,5. 日本語表現文型辞典,,しかたがない,
しかない,,5. 日本語表現文型辞典,,しかない,
